namn,Y,X,sdate,edate
Akademiska sjukhuset (Uppsala),59.8517599,17.6377945,0,9
Blekingesjukhuset (Karlskrona),56.1822097,15.6055004,0,9
Centrallasarettet Växjö,56.8745945,14.8081078,0,9
Centralsjukhuset Kristianstad,56.0303432,14.1735611,0,9
Centralsjukhuset i Karlstad,59.3749398,13.4804298,0,9
Danderyds sjukhus AB (Stockholm),59.392321,18.039432,0,9
Falu lasarett,60.608739,15.644265,0,9
Gällivare sjukhus,67.1308318,20.6857972,0,9
Gävle sjukhus,60.6777553,17.1178785,0,9
"Hallands sjukhus, Halmstad",56.6813217,12.8462983,0,9
"Hallands sjukhus, Varberg",57.0990514,12.2795196,0,9
Helsingborgs lasarett,56.0463429,12.7045118,0,9
Höglandssjukhuset (Eksjö),57.6664305,14.9635453,0,9
Hudiksvalls sjukhus,61.7294128,17.0987573,0,9
Karlskoga lasarett,59.31572,14.505467,0,9
Karolinska universitetssjukhuset Huddinge,59.2203536,17.9359673,0,9
Karolinska universitetssjukhuset Solna,59.3520742,18.0345726,0,9
Länssjukhuset i Kalmar,56.657155,16.3322878,0,9
Länssjukhuset Ryhov (Jönköping),57.766551,14.194188,0,9
Lycksele lasarett,64.5852721,18.6785323,0,9
Mälarsjukhuset (Eskilstuna),59.3633681,16.5360922,0,9
Mölndals sjukhus (Göteborg),57.6612323,12.0123375,0,9
Norra Älvsborgs länssjukhus (Trollhättan),58.3185394,12.2658974,0,9
Norrlands universitetssjukhus (Umeå),63.8175029,20.2984742,0,9
Nyköpings lasarett,58.7596809,16.9952397,0,9
Örnsköldsviks sjukhus,63.3002827,18.7120845,0,9
Östersunds sjukhus,63.1826508,14.6357884,0,9
"Östra sjukhuset, Göteborg",57.7211145,12.0504336,0,9
Sahlgrenska universitetssjukhuset,57.6823672,11.9614319,0,9
"Skånes universitetssjukhus, Malmö",55.5878952,13.0047228,0,9
"Skånes universitetssjukhus, Lund",55.7125586,13.1968161,0,9
Skaraborgs sjukhus Skövde,58.4269627,13.8514115,0,9
Skellefteå lasarett,64.756546,20.9429914,0,9
"Södersjukhuset , Stockholm",59.3098398,18.0558801,0,9
Södertälje sjukhus,59.1990692,17.6312736,0,9
"Södra Älvsborgs sjukhus, Borås",57.723595,12.96221,0,9
Sunderbyns sjukhus (Luleå),65.6716365,21.9320624,0,9
Sundsvalls sjukhus,62.4082741,17.3057861,0,9
Universitetssjukhuset Örebro,59.2757427,15.2251035,0,9
Universitetssjukhuset i Linköping,58.4004272,15.6199301,0,9
Värnamo sjukhus,57.1736552,14.0285143,0,9
Västerviks sjukhus,57.7553343,16.6363955,0,9
Västmanlands sjukhus Västerås,59.6173541,16.5808905,0,9
Visby lasarett,57.6480132,18.3008479,0,9
Vrinnevi sjukhus (Norrköping),58.5632628,16.1787572,0,9
Ystad lasarett,55.4334712,13.8171372,0,9
Bollnäs,61.3539162,16.3587768,0,2000
Kiruna,67.8499867,20.236159,0,2001
Kalix,65.8541409,23.1548853,0,2001
Pietå/Älvdal,65.312702,21.493734,0,2002
Skaraborgs sjukhus Lidköping,58.4976362,13.1498124,0,2003
Ljungby,56.834933,13.93319,0,2007
Mora,61.0159033,14.5819858,0,2009
BB Sophia,59.3453763,18.0732882,0,2016
Sollefteå,63.1743873,17.233091,0,2017
BB Stockholm,59.3455384,18.0460252,2001,9
